id,name,type,start_date,distance_km,moving_time,moving_time_hms,avg_speed_kmh,kilojoules,map_summary_polyline,NM_UF,NM_MUN
17136947006,Morning Walk,Walk,2026-01-22 09:28:21,0.48510000000000003,407,0:06:47,4.2912,0.0,,,
17132473580,Evening Run,Run,2026-01-21 21:14:52,5.2559,2637,0:43:57,7.1748,536.4,dmoKjpeaHoA@g@EoAYsAa@g@GkAYu@MKBEHc@rACNDJPLzGnDh@Rj@FlABvCCnEW|@EfAIbBSDCBE?KYaBIs@KQUCCEE?SPi@EGFKBy@Bo@@g@Ga@AaHJe@Ak@MiCu@s@IyA_@[EEBIJ[dAI\BJJHrCvAfB~@hAh@v@H|DBnH[pDc@DIAMQ}@QuAKMMGKCQJaABkJLmC?s@KsBo@iAOmA]a@EIDQ`@[jAFJr@b@zAr@bDbBl@N\Dn@DzB@rDMfDS|C]BIYyBKk@EGIE]?eEHqJHCDBDH@hEEnHKd@ERKRDNDDHTfBLp@@r@,Pará,Mãe do Rio
17132473213,Afternoon Run,Run,2026-01-21 16:33:19,1.1418,650,0:10:50,6.3252,0.0,,,
17132473181,Lunch Weight Training,WeightTraining,2026-01-21 15:58:46,0.0,2048,0:34:08,0.0,0.0,,,
17132473207,Lunch Run,Run,2026-01-21 15:44:10,1.0707,648,0:10:48,5.9472,0.0,,,
17120914422,Evening Run,Run,2026-01-20 21:04:03,6.0108999999999995,2558,0:42:38,8.46,714.6,~loKlpeaHqA@[Aa@G}C}@s@Mu@W_@IKAKDOTcGlRw@jBwBtGoAfD_@rA]v@c@zAgA|CuBrGwDtKsC|IQ\u@~BSVENQp@cBlFuC~HKZId@q@xAUj@If@@FDHPJdA`@\PDHCPQ^Qh@e@nA]p@?Ff@aBz@wBBOAGMK}Ao@QKCG?MNo@d@y@Zu@\sAl@qAzAkEvBeHd@w@\y@Nu@Pc@Ty@v@yBbCmHXs@l@oBpDuKtBqGz@{Bp@yBz@mCpAoDRMHO\aBZ}@`@yArA_ERu@l@gBT}@Ri@FGN?n@TrA\l@V`Cl@p@Hp@?,Pará,Mãe do Rio
17120913172,Afternoon Walk,Walk,2026-01-20 20:54:07,0.4705,363,0:06:03,4.6656,0.0,,,
17120913168,Morning Weight Training,WeightTraining,2026-01-20 11:03:23,0.0,2199,0:36:39,0.0,0.0,,,
17120913164,Morning Run,Run,2026-01-20 10:52:14,1.0876,647,0:10:47,6.0516000000000005,0.0,,,
17120914029,Evening Run,Run,2026-01-19 22:05:00,3.1955,1635,0:27:15,7.0344,317.7,tloK`peaHeABk@EoBg@w@WiCs@SEE?CBFF|@Xv@RhD`Ap@L|@@~HQbC?`AEDEEEe@?c@BaC@uCFuEDYEcCq@w@Yu@Qm@Se@GEBBHTH`ElAtA\j@Fp@@fFK~CAdCKDGEEQ?iCF}KLcBa@i@IgC{@cAWE@DHj@VjCt@lBf@l@HlAA,Pará,Mãe do Rio
17120913853,Morning Ride,Ride,2026-01-19 11:26:55,1.977,517,0:08:37,13.766399999999999,0.0,jlnKpggaHvJkY?KGKg@Md@LHADE^y@Vw@Lm@FKJAVFvAf@dGjBL?JGNUNe@LE|Cz@`Cr@x@ZPBHAJELQ^}@xAcEHGN?,Pará,Mãe do Rio
17120913165,Morning Weight Training,WeightTraining,2026-01-19 10:50:44,0.0,2145,0:35:45,0.0,0.0,,,
17101867021,Morning Ride,Ride,2026-01-19 10:32:55,1.968,613,0:10:13,11.556000000000001,0.0,~}oKtifaHO\S|@IJI@]GcC{@IAI@GBc@jAIFKB{C_Ag@MiBo@iCu@gA_@q@MO@QJSVS~@eAbDMXWv@Sd@_AvC}CzIOl@y@xBOj@y@nB{@fCIJO@o@O,Pará,Mãe do Rio
17101867046,Morning Run,Run,2026-01-19 09:53:15,5.0173000000000005,1774,0:29:34,10.1808,547.5,zloKppeaHgABm@Gm@MeFsAs@MMBKLWx@Kf@BJRL|CxAvBjAl@Tj@HV@tC@xBGzFYvBWJEBE?MMq@U}ACIMEa@CmBFsEDuDFy@?y@KgBg@{AWiBg@IAGBKR_@pAALBF~C|A~BpAd@R`@J~@HdC?|@C`Ic@~@Ot@EHG@Mg@wCCEMESAoADoKL_B?s@IuCy@cAMwA_@MAEBKR[jACN@Fl@^jEtBdAj@j@Nl@DzBBxDMx@GdCKvAQz@GJG@Gg@{CCGMGSAwFLyGFs@Aq@IeHoBG?BDPFdCn@,Pará,Mãe do Rio
17101867026,Morning Walk,Walk,2026-01-19 09:44:01,0.49810000000000004,419,0:06:59,4.2804,0.0,v~oKdweaH?O,Pará,Mãe do Rio
